Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_March-9-18,views_as_of_Feb-21-18,video_title
"October 17, 2011","7,444","7,478",n,theFundraiser.txt,youtube,https://www.youtube.com/watch?v=YmHu2JRtRug,5:26,"7,567","7,529","""The Fundraiser"""
"July 24, 2011","16,042","16,113",n,marcusBachmannNotGettingMarried.txt,youtube,https://www.youtube.com/watch?v=mNlTI-P6yTY,5:12,"16,289","16,213","""Marcus Bachmann Is Not Getting Married to Randy Rainbow"""
"May 1, 2011","39,350","40,088",n,royalWedding.txt,youtube,https://www.youtube.com/watch?v=XlJWmrK7Bu8,4:52,"42,455","41,692","""Royal Wedding: The Morning After"""
"Apr 6, 2011","23,396","24,011",y,americanIdolWelcomesBack.txt,youtube,https://www.youtube.com/watch?v=uUI3OGHfk9g,5:05,"25,665","25,168","""American Idol Welcomes Back Randy Rainbow"""
"Feb 27, 2011","15,752","15,837",n,charlieSheenRandysNewBoyfriend.txt,youtube,https://www.youtube.com/watch?v=iHBqXGLsQI0,4:42,"16,085","15,990","""Charlie Sheen Is Randy Rainbow's New Boyfriend"""
"Feb 13, 2011","46,245","46,702",n,melGibsonRandySeekCounseling.txt,youtube,https://www.youtube.com/watch?v=N__uN_l4Gsc,5:40,"47,742","47,380","""Mel Gibson and Randy Rainbow Seek Counseling"""
"Jan 25, 2011","175,348","180,547",n,americanIdolAudition.txt,youtube,https://www.youtube.com/watch?v=QHoh82ZwDjw,5:05,"196,142","192,063","""American Idol Audition"""
"Jan 9, 2011","9,068","9,117",n,spiderManCastSaved.txt,youtube,https://www.youtube.com/watch?v=VChJ4SnyfdQ,5:13,"9,238","9,190","""Spider-Man Cast Saved by Randy Rainbow"""
"Dec 13, 2010","11,583","11,655",n,melGibsonSpendsChristmas.txt,youtube,https://www.youtube.com/watch?v=JLfxq7t2KX4,4:39,"11,841","11,765","""Mel Gibson Spends Christmas with Randy Rainbow"""
"Nov 18, 2010","8,586","8,637",n,kanyeWestKicksIt.txt,youtube,https://www.youtube.com/watch?v=icVRIlkn0hk,3:29,"8,778","8,732","""Kanye West Kicks It With Randy Rainbow"""
"Oct 25, 2010","9,581","9,637",n,randyRainbowStars.txt,youtube,https://www.youtube.com/watch?v=YNOzRXKzEfk,4:34,"9,782","9,725","""Randy Rainbow Stars In a Show!"""
"Oct 3, 2010","11,046","11,080",n,rachelZoeHiresRandy.txt,youtube,https://www.youtube.com/watch?v=h3qu6KgoORo,4:55,"11,189","11,141","""Rachel Zoe Hires Randy Rainbow!"""
"Sep 13, 2010","30,146","30,323",n,randyRainbowGettingMarried.txt,youtube,https://www.youtube.com/watch?v=3jkRjULDoFk,5:57,"30,864","30,634","""Randy Rainbow Getting Married?"""
"August 30, 2010","45,427","45,522",n,lindsayLohanGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=b3bP3t4u8rg,4:18,"45,756","45,668","""Lindsay Lohan Gets a Call from Randy Rainbow"""
"August 19, 2010","22,833","22,927",n,drLauraGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=h7TQRPqK6ig,3:04,"23,263","23,143","""Dr. Laura Gets a Call from Randy Rainbow"""
"August 1, 2010","45,815","45,895",n,chelseaClintonWedding.txt,youtube,https://www.youtube.com/watch?v=m1ifaaeii3k,3:23,"46,369","46,083","""Chelsea Clinton's Wedding: The Morning After"""
"May 27, 2010","4,051","4,063",n,none,none,https://www.youtube.com/watch?v=EW3CCkdhTic,1:24,"4,102","4,092","""American Idol Reaction"""
"May 23, 2010","16,667","16,912",n,oprahAudition.txt,youtube,https://www.youtube.com/watch?v=oJEVnkNY6Sk,5:41,"17,550","17,327","""The Oprah Audition"""
"May 2, 2010","3,915","3,960",n,previouslyOn.txt,youtube,https://www.youtube.com/watch?v=iOapmFuX6uc,3:01,"4,114","4,047","""Previously On"""
"Jan 3, 2010","9,090","9,291",n,visionBoard.txt,youtube,https://www.youtube.com/watch?v=vu_5dOXzmN8,7:05,"9,913","9,673","""Randy Rainbow's Vision Board"""
"Nov 22, 2009","5,895","5,921",n,chadKimballInterview.txt,youtube,https://www.youtube.com/watch?v=sCBzx1Nc2Rc,9:59,"6,028","5,987","""Chad Kimball of the Broadway Show Memphis Interviewed"""
"May 4, 2009","23,480","23,731",n,mirandaVoiceLessons.txt,youtube,https://www.youtube.com/watch?v=GWko3MBcGHg,7:14,"24,501","24,240","""Miranda Gives Voice Lessons to Randy Rainbow"""
