Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2018-07-16,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21
"Dec 25, 2011",y,rickPerryRandyRainbowXmas.txt,youtube,5:09,1DUYZQHeqjI,.mkv,https://www.youtube.com/watch?v=1DUYZQHeqjI,"31,611","""Rick Perry and Randy Rainbow: The XMas Album""","27,581","28,184","29,177","29,640","29,830","30,515","30,696","31,182","31,338"
"November 13, 2011",n,rickPerryGetsDrunkPhoneCall.txt,youtube,4:43,ZQqDWuXT51w,.webm,https://www.youtube.com/watch?v=ZQqDWuXT51w,"19,279","""Rick Perry Gets a Drunk Phone Call from Randy Rainbow""","18,309","18,391","18,545","18,649","18,702","18,899","18,970","19,145","19,211"
"October 30, 2011",n,beaArthurRandyHalloween.txt,youtube,4:08,8kzBfEw44M4,.mkv,https://www.youtube.com/watch?v=8kzBfEw44M4,"16,025","""Bea Arthur and Randy Rainbow's Halloween Special""","15,219","15,297","15,446","15,526","15,566","15,711","15,766","15,881","15,916"
"October 17, 2011",n,theFundraiser.txt,youtube,5:26,YmHu2JRtRug,.mkv,https://www.youtube.com/watch?v=YmHu2JRtRug,"7,789","""The Fundraiser""","7,444","7,478","7,529","7,567","7,585","7,656","7,684","7,729","7,750"
"July 24, 2011",n,marcusBachmannNotGettingMarried.txt,youtube,5:12,mNlTI-P6yTY,.mkv,https://www.youtube.com/watch?v=mNlTI-P6yTY,"16,706","""Marcus Bachmann Is Not Getting Married to Randy Rainbow""","16,042","16,113","16,213","16,289","16,325","16,458","16,503","16,614","16,653"
"May 1, 2011",n,royalWedding.txt,youtube,4:52,XlJWmrK7Bu8,.webm,https://www.youtube.com/watch?v=XlJWmrK7Bu8,"48,108","""Royal Wedding: The Morning After""","39,350","40,088","41,692","42,455","42,795","43,935","44,366","46,335","46,846"
"Apr 6, 2011",y,americanIdolWelcomesBack.txt,youtube,5:05,uUI3OGHfk9g,.mkv,https://www.youtube.com/watch?v=uUI3OGHfk9g,"28,456","""American Idol Welcomes Back Randy Rainbow""","23,396","24,011","25,168","25,665","25,951","26,821","27,103","27,836","27,997"
"Feb 27, 2011",n,charlieSheenRandysNewBoyfriend.txt,youtube,4:42,iHBqXGLsQI0,.mkv,https://www.youtube.com/watch?v=iHBqXGLsQI0,"16,687","""Charlie Sheen Is Randy Rainbow's New Boyfriend""","15,752","15,837","15,990","16,085","16,147","16,337","16,395","16,525","16,569"
"Feb 13, 2011",n,melGibsonRandySeekCounseling.txt,youtube,5:40,N__uN_l4Gsc,.mkv,https://www.youtube.com/watch?v=N__uN_l4Gsc,"49,773","""Mel Gibson and Randy Rainbow Seek Counseling""","46,245","46,702","47,380","47,742","47,925","48,587","48,818","49,218","49,404"
"Jan 25, 2011",n,americanIdolAudition.txt,youtube,5:05,QHoh82ZwDjw,.webm,https://www.youtube.com/watch?v=QHoh82ZwDjw,"217,759","""American Idol Audition""","175,348","180,547","192,063","196,142","198,915","206,026","207,739","212,797","214,470"
"Jan 9, 2011",n,spiderManCastSaved.txt,youtube,5:13,VChJ4SnyfdQ,.mkv,https://www.youtube.com/watch?v=VChJ4SnyfdQ,"9,522","""Spider-Man Cast Saved by Randy Rainbow""","9,068","9,117","9,190","9,238","9,259","9,342","9,375","9,425","9,450"
